,log message,log key,parameter value vector
910,10 18 18:05:57 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
911,10 18 18:05:57 DataStreamer Exception,DataStreamer Exception,[0]
912,10 18 18:05:57 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
913,10 18 18:05:57 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 60 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '60', ' ']"
914,10 18 18:05:58 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
915,10 18 18:05:58 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 61 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '61', ' ']"
916,10 18 18:05:59 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
917,10 18 18:05:59 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 62 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '62', ' ']"
918,10 18 18:06:00 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
919,10 18 18:06:00 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 63 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '63', ' ']"
920,10 18 18:06:01 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
921,10 18 18:06:01 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 64 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '64', ' ']"
922,10 18 18:06:01 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
923,10 18 18:06:02 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
924,10 18 18:06:02 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 65 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '65', ' ']"
925,10 18 18:06:02 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:8030', '41', '8030']"
926,10 18 18:06:03 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.38137424,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000002', '0', '0', '38137424']"
927,10 18 18:06:03 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
928,10 18 18:06:03 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 66 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '66', ' ']"
929,"10 18 18:06:03 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[0, '41', '8030', '0', '10', '1000']"
930,10 18 18:06:03 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
931,10 18 18:06:04 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
932,10 18 18:06:04 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 67 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '67', ' ']"
933,10 18 18:06:04 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:8030', '41', '8030']"
934,10 18 18:06:05 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
935,10 18 18:06:05 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 68 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '68', ' ']"
936,"10 18 18:06:05 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[0, '41', '8030', '0', '10', '1000']"
937,10 18 18:06:05 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
938,10 18 18:06:06 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.37551183,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000001', '0', '0', '37551183']"
939,10 18 18:06:06 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.38137424,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '38137424']"
940,10 18 18:06:06 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
941,10 18 18:06:06 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 69 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '69', ' ']"
942,10 18 18:06:06 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:8030', '41', '8030']"
943,10 18 18:06:07 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
944,10 18 18:06:07 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 70 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '70', ' ']"
945,"10 18 18:06:07 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[0, '41', '8030', '0', '10', '1000']"
946,10 18 18:06:07 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
947,10 18 18:06:08 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
948,10 18 18:06:08 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 71 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '71', ' ']"
949,10 18 18:06:08 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:8030', '41', '8030']"
950,10 18 18:06:09 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.37551183,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000001', '0', '0', '37551183']"
951,10 18 18:06:09 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.38137424,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '38137424']"
952,10 18 18:06:09 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
953,10 18 18:06:09 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 72 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '72', ' ']"
954,"10 18 18:06:09 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[0, '41', '8030', '0', '10', '1000']"
955,10 18 18:06:09 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
956,10 18 18:06:10 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
957,10 18 18:06:10 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 73 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '73', ' ']"
958,10 18 18:06:10 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:8030', '41', '8030']"
959,10 18 18:06:11 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
960,10 18 18:06:11 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 74 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '74', ' ']"
961,"10 18 18:06:11 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[0, '41', '8030', '0', '10', '1000']"
962,10 18 18:06:11 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
963,10 18 18:06:12 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.37551183,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000001', '0', '0', '37551183']"
964,10 18 18:06:12 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.38137424,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '38137424']"
965,10 18 18:06:12 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
966,10 18 18:06:12 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 75 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '75', ' ']"
967,10 18 18:06:13 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
968,10 18 18:06:13 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
969,10 18 18:06:13 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 76 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '76', ' ']"
970,"10 18 18:06:14 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
971,10 18 18:06:14 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
972,10 18 18:06:14 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
973,10 18 18:06:14 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 77 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '77', ' ']"
974,10 18 18:06:15 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
975,10 18 18:06:15 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.37551183,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '37551183']"
976,10 18 18:06:15 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.38137424,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '38137424']"
977,10 18 18:06:15 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
978,10 18 18:06:15 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 78 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '78', ' ']"
979,"10 18 18:06:16 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
980,10 18 18:06:16 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
981,10 18 18:06:16 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
982,10 18 18:06:16 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 79 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '79', ' ']"
983,10 18 18:06:17 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
984,10 18 18:06:18 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
985,10 18 18:06:18 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 80 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '80', ' ']"
986,"10 18 18:06:18 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[0, '41', '8030', '0', '10', '1000']"
987,10 18 18:06:18 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
988,10 18 18:06:18 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.37551183,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '37551183']"
989,10 18 18:06:18 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.38137424,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '38137424']"
990,10 18 18:06:19 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
991,10 18 18:06:19 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 81 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '81', ' ']"
992,10 18 18:06:19 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:8030', '41', '8030']"
993,10 18 18:06:20 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
994,10 18 18:06:20 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 82 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '82', ' ']"
995,"10 18 18:06:20 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[0, '41', '8030', '0', '10', '1000']"
996,10 18 18:06:20 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
997,10 18 18:06:21 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
998,10 18 18:06:21 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 83 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '83', ' ']"
999,10 18 18:06:21 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:8030', '41', '8030']"
1000,10 18 18:06:21 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.37551183,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '37551183']"
1001,10 18 18:06:22 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
1002,10 18 18:06:22 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 84 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '84', ' ']"
1003,10 18 18:06:22 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.38137424,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '38137424']"
1004,"10 18 18:06:22 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[0, '41', '8030', '0', '10', '1000']"
1005,10 18 18:06:22 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1006,10 18 18:06:23 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
1007,10 18 18:06:23 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 85 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '85', ' ']"
1008,10 18 18:06:23 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:8030', '41', '8030']"
1009,10 18 18:06:24 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
1010,10 18 18:06:24 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 86 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '86', ' ']"
1011,"10 18 18:06:24 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[0, '41', '8030', '0', '10', '1000']"
1012,10 18 18:06:24 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1013,10 18 18:06:25 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:9000', '41', '9000']"
1014,10 18 18:06:25 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 87 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '87', ' ']"
1015,10 18 18:06:25 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.37551183,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '37551183']"
1016,10 18 18:06:25 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:8030', '41', '8030']"
1017,10 18 18:06:25 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.38137424,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '38137424']"
1018,10 18 18:06:25 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.38137424,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '38137424']"
1019,10 18 18:06:26 Task: attempt_1445144423722_0020_m_000002_0 - exited : java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,Task: attempt_<*>_<*>_m_<*>_<*> - exited : java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI5<*> to msra-sa-<*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,"[1, ' ', ' ']"
